,Age,Role Models,Competitiveness,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate1
75,59,1,Competitive,<50%,Low,Low,Low,Low
76,54,10,Competitive,<50%,High,Low,Low,Low
77,16,8,Competitive,<50%,High,Low,Low,Low
78,45,6,Competitive,<50%,Medium,Low,Low,Low
79,36,9,Competitive,<50%,High,Low,Low,Low
80,18,0,Competitive,<50%,Low,Low,Low,Low
81,14,2,Non-Competitive,<50%,Medium,Medium,Low,Low
82,63,2,Competitive,<50%,Medium,Low,Low,Low
83,61,3,Non-Competitive,Equal,Medium,Medium,High,Medium
84,13,8,Competitive,50% to 100%,High,Low,Medium,Low
85,36,3,Competitive,<50%,Medium,Low,Low,Low
86,29,1,Competitive,<50%,Low,Low,Low,Low
87,41,7,Competitive,<50%,High,Low,Low,Low
88,10,7,Non-Competitive,<50%,High,Medium,Low,Low
89,56,10,Non-Competitive,<50%,High,Medium,Low,Low
90,42,8,Competitive,50% to 100%,High,Low,Medium,Low
91,30,0,Non-Competitive,<50%,Low,Medium,Low,Low
92,40,8,Competitive,50% to 100%,High,Low,Medium,Low
93,55,6,Non-Competitive,<50%,Medium,Medium,Low,Low
94,19,0,Non-Competitive,50% to 100%,Low,Medium,Medium,Low
95,42,6,Competitive,<50%,Medium,Low,Low,Low
96,4,5,Non-Competitive,<50%,Medium,Medium,Low,Low
97,25,5,Competitive,<50%,Medium,Low,Low,Low
98,49,6,Competitive,<50%,Medium,Low,Low,Low
99,61,9,Competitive,<50%,High,Low,Low,Low
