,Age,Role Models,Competitiveness,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate,Participation %
28,11,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate,53.1%
29,19,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate,22.6%
30,18,8,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate,22.6%
31,19,6,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate,22.6%
32,11,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate,53.1%
33,11,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate,53.1%
34,18,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate,22.6%
35,16,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate,22.6%
36,13,0,Competitive,Equal,Current rate,Current rate,Optimum rate,Current rate,53.1%
37,16,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate,22.6%
38,17,6,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate,22.6%
39,16,9,Equally Competitive & Non-Competitive,<50%,Optimum rate,Expected rate,Current rate,Expected rate,22.6%
40,18,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate,22.6%
41,15,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate,0
42,19,3,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate,22.6%
43,15,0,Equally Competitive & Non-Competitive,50% to 100%,Current rate,Expected rate,Expected rate,Expected rate,0
44,10,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate,53.1%
45,15,1,Equally Competitive & Non-Competitive,50% to 100%,Current rate,Expected rate,Expected rate,Expected rate,0
46,15,3,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate,0
47,12,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate,53.1%
48,16,1,Non-Competitive,<50%,Current rate,Optimum rate,Current rate,Current rate,22.6%
49,13,3,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate,53.1%
50,13,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate,53.1%
51,14,2,Equally Competitive & Non-Competitive,50% to 100%,Expected rate,Expected rate,Expected rate,Expected rate,53.1%
52,11,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate,53.1%
53,15,0,Non-Competitive,<50%,Current rate,Optimum rate,Current rate,Current rate,0
54,19,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate,22.6%
55,17,4,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate,22.6%
56,19,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate,22.6%
57,16,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate,22.6%
58,14,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate,53.1%
59,13,0,Equally Competitive & Non-Competitive,50% to 100%,Current rate,Expected rate,Expected rate,Expected rate,53.1%
60,16,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate,22.6%
61,12,0,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate,53.1%
62,17,3,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate,22.6%
63,13,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate,53.1%
64,15,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate,0
65,16,0,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate,22.6%
66,19,1,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate,22.6%
67,15,6,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate,0
68,14,0,Non-Competitive,<50%,Current rate,Optimum rate,Current rate,Current rate,53.1%
69,14,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate,53.1%
70,11,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate,53.1%
71,13,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate,53.1%
72,15,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate,0
73,10,4,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate,53.1%
74,16,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate,22.6%
75,18,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate,22.6%
76,15,0,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate,0
77,19,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate,22.6%
78,17,0,Equally Competitive & Non-Competitive,50% to 100%,Current rate,Expected rate,Expected rate,Expected rate,22.6%
79,19,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate,22.6%
80,18,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate,22.6%
81,12,3,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate,53.1%
82,14,4,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate,53.1%
83,18,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate,22.6%
84,12,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate,53.1%
85,13,3,Competitive,Equal,Expected rate,Current rate,Optimum rate,Expected rate,53.1%
86,18,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate,22.6%
87,12,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate,53.1%
88,10,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate,53.1%
89,12,3,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate,53.1%
90,19,0,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate,22.6%
91,17,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate,22.6%
92,19,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate,22.6%
93,19,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate,22.6%
94,11,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate,53.1%
95,14,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate,53.1%
96,16,1,Non-Competitive,<50%,Current rate,Optimum rate,Current rate,Current rate,22.6%
97,16,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate,22.6%
98,19,4,Equally Competitive & Non-Competitive,50% to 100%,Expected rate,Expected rate,Expected rate,Expected rate,22.6%
99,10,0,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate,53.1%
