,Age,Role Models,Competitiveness1,Access compared to Boys,Role Model category,Competitiveness category,Access Category,Participation rate1
78,49,4,Non-Competitive,<50%,Medium,Medium,Low,Low
79,34,9,Competitive,50% to 100%,High,Low,Medium,Low
80,12,8,Competitive,50% to 100%,High,Low,Medium,Low
81,4,3,Non-Competitive,<50%,Medium,Medium,Low,Low
82,33,8,Competitive,<50%,High,Low,Low,Low
83,38,4,Competitive,50% to 100%,Medium,Low,Medium,Low
84,42,8,Competitive,<50%,High,Low,Low,Low
85,39,0,Competitive,<50%,Low,Low,Low,Low
86,7,9,Competitive,<50%,High,Low,Low,Low
87,34,8,Competitive,<50%,High,Low,Low,Low
88,39,0,Competitive,<50%,Low,Low,Low,Low
89,34,9,Competitive,<50%,High,Low,Low,Low
90,19,6,Competitive,50% to 100%,Medium,Low,Medium,Low
91,50,7,Non-Competitive,<50%,High,Medium,Low,Low
92,56,1,Competitive,<50%,Low,Low,Low,Low
93,62,0,Competitive,<50%,Low,Low,Low,Low
94,24,6,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
95,4,5,Competitive,<50%,Medium,Low,Low,Low
96,9,1,Competitive,50% to 100%,Low,Low,Medium,Low
97,11,6,Non-Competitive,<50%,Medium,Medium,Low,Low
98,63,3,Competitive,<50%,Medium,Low,Low,Low
99,25,3,Competitive,<50%,Medium,Low,Low,Low
